Poste date,Title,Location,Company,Job type,Job description
PostedPosted 30+ days ago,Ingénieur Etude et Développement FULL STACK JAVA/J2EE,Casablanca,Royale Marocaine D'assurance,,"Casablanca
En tant qu' Ingénieur Etude et Développement FULL STACK JAVA/J2EE, vous aurez pour missions :

. Participer ou réaliser l’analyse fonctionnelle des besoins des clients
. Etudier la faisabilité technique des besoins exprimés
. Structurer et rédiger les spécifications techniques adaptées aux différents utilisateurs
. Concevoir de nouvelles applications au sein d’une équipe pluridisciplinaire
. Développer et mettre au point des modules et logiciels informatiques dans un langage spécifique Java
. Réaliser les tests de recette des applications
. Paramétrer l’application, Rédiger le dossier d’exploitation et intégrer l’application dans le système existant
. Maintenir les applications mise en exploitation en apportant les corrections nécessaires suite à des erreurs identifiées.
. Evoluer les applications suite à de nouvelles règlementations ou autres
. Intégrer de nouvelles technologies dans les applications existantes
Profil recherché :
. De formation Bac+5 issue d'une école d’ingénieur, vous avez une expérience entre 2 à 6 ans dans le développement JAVA/J2EE, vous avez un bon niveau de communication et de synthèse.
. Vous avez une expérience significative dans les technologies suivantes : UML, Framework Spring, Hibernate, JPA, Struts, JSF2, SVN …etc.
. Des certifications Java et une connaissance en programmation « Angular » seront des atouts pour ce poste."
PostedPosted 30+ days ago,Ingénieur informatique (h/f),Tanger,MLK e-marketing,Permanent,"Société située à Tanger spécialisée dans l‘e-marketing recherche un ingénieur informatique (H/F)
Responsabilités :.- l’administration et configuration des serveurs (Linux).- Diagnostiquer les incidents liés aux systèmes Linux (Debian, CentOS et Ubuntu).- Gestion des serveurs.- Assurer le développement et la maintenance des fonctionnalités techniques des applications.- corriger les anomalies et résoudre les problèmes de performance.Profil recherché :.- Bac + 5- Maitrise les langages de programmation (PHP, HTML,Java, CSS, JavaScript).- Maitrise de SGBD PostgreSQL.- Compréhension des principes de conception d'API et d'intégration.- Maitrise systèmes Linux (Debian, CentOS et Ubuntu).- Connaissances en réseaux et protocoles de communication.
Domaine : Informatique / Multimédia / Internet
Fonction : Informatique - Développement
Contrat : CDI
Entreprise : MLK e-marketing
Salaire : A discuter
Niveau d'études : Bac plus 5"
PostedPosted 30+ days ago,Ingénieur études et développement .net Confirmé (F/H) - Rabat,Rabat,Cegedim Group,Full-time +1,"Contrat permanent
Temps plein
De 2 à 5 ans d’expérience
Master, DESS, DEA, Bac+5
Informatique / Systèmes d’information
Mission
Fondée en 1969, Cegedim est une entreprise innovante de technologies et de services spécialisée dans la gestion des flux numériques de l’écosystème santé et BtoB, ainsi que dans la conception de logiciels métier destinés aux professionnels de santé et de l’assurance. Cegedim compte plus de 6 000 collaborateurs dans plus de 10 pays et a réalisé un chiffre d’affaires de 555,2 millions d’euros en 2022.
Présente au royaume depuis 2008, Cegedim Maroc s’est imposé comme un acteur majeur du groupe, spécialisée dans les technologies et les services, à travers la participation à l’élaboration et à la réalisation des solutions logicielles du groupe dans les domaines de la paie et des ressources humaines, de la dématérialisation de factures, de l’assurance santé, et de la gestion de dossiers médicaux. Des métiers qui s’étendent de l’élaboration des besoins au déploiement de solutions, en passant par le développement logiciel et le paramétrage, ainsi que la formation, le service client et les métiers du support.
Cegedim SA est cotée en bourse à Paris (EURONEXT : CGM).
Pour en savoir plus : www.cegedim.fr
Et suivez Cegedim sur Twitter : @CegedimGroup et LinkedIn.
Mission principale du service
Participer au développement d'applications informatiques
Positionnement du salarié dans l’organigramme du service
Rattaché au CTO.
Les missions du poste
Raison d’être ou finalité du poste
Assurer la conception et le développement des applications désignées.
Missions et activités du poste
Concevoir, faire évoluer les applications
Documenter les règles métier des applications désignées
Communiquer avec l’ensemble des parties prenantes permettant le développement et la livraison en production des applications désignées aux dates planifiées (designer, intégrateur, product manager, admin réseau…)
Intérêts, contraintes, difficultés du poste
Respecter les délais de livraison
Résoudre des problèmes techniques critiques le plus rapidement possible
Travailler dans un contexte médical avec de la donnée de santé
Travailler avec des partenaires

Profil
Descriptif du profil :
Compétences indispensables
Bonne maîtrise du .net/ C# + Entity framework
asp.net + web services (rest / soap)
HTML/CSS/Javascript/JQuery
Bases de données Oracle
En bonus, ce serait appréciable si le candidat a une connaissance des design patterns (notamment fabrique, fabrique abstraite et injection de dépendance)
Niveau de séniorité : Profil Senior ou Dev confirmé++ avec une expérience de +4ans
Compétences
C#
Localisation
Emplacement Adresse
Avenue Omar Ibn Al Khattab, Rabat, Maroc"
EmployerActive 8 days ago,Stage en informatiques et systèmes d'information ERP,Casablanca,Association l'Heure Joyeuse,Full-time +1,"L’heure Joyeuse est à la recherche d'un stagiaire en Informatique et Système d'Information ERP pour rejoindre notre équipe pour une période de 3 mois. Le stagiaire contribuera à la mise en place d’un système ERP dans les domaines de l'achat et de la gestion des projets.
Responsabilités :
- Travailler en collaboration avec les différentes parties prenantes internes pour comprendre les besoins spécifiques en matière d'achat et de gestion des projets ;
- Personnalisation des Fonctionnalités ERP : Développer et personnaliser les fonctionnalités ERP en utilisant les langages de programmation pertinents tels que C# et JavaScript, en veillant à l'intégration fluide avec les modules liés à l'achat et à la gestion de projet.
- Conception et Mise en Œuvre : Concevoir et mettre en œuvre des solutions informatiques adaptées, en garantissant une approche analytique et une réponse précise aux besoins identifiés.
- Collaboration en Équipe : Travailler de manière autonome tout en participant activement avec l'équipe, en partageant des idées, en résolvant des problèmes et en contribuant positivement à l'environnement professionnel.
- Maîtriser les outils essentiels tels que Visual Studio et MySQL Server pour assurer le développement et la mise en œuvre efficaces des solutions informatiques.
Compétences techniques requises
- Connaissances approfondies en système d'information et les systèmes ERP.
- Compréhension approfondie des modules ERP liés à l'achat et à la gestion des projets.
- Maîtrise des langages de programmation pertinents pour le développement et la personnalisation des fonctionnalités ERP (préférence langue C#, javascript) et la maitrise du logiciel visual studio et My SQL serveur
- Capacité à analyser, concevoir et mettre en œuvre des solutions informatiques adaptées aux besoins d'achat et de gestion des projets.
- Compétences en résolution de problèmes, autonomie et capacité à travailler en équipe.
Profil recherché
· Etudiant(e) en dernière année de cycle ingénieur ou équivalent en Génie Informatique, Système d'Information ou toute autre formation pertinente.
· Maîtrise des langages de programmation pertinents pour le développement et la personnalisation des fonctionnalités ERP (préférence langue C#, javascript) et la maitrise du logiciel visual studio et My SQL serveur
· Bonnes compétences en communication et capacité à travailler en équipe.
· Autonomie, rigueur et curiosité intellectuelle.
Type d'emploi : Temps plein, Stage
Durée du contrat : 3 mois"
PostedPosted 30+ days ago,Responsable infrastructure si,Casablanca,Industrie,Permanent,"Une entreprise industrielle leader dans son domaine d’activité recherche un Responsable Infrastructure SI.
Poste : rattaché au Directeur SI, vos principales missions seront les suivantes :- Assurer la gestion du Parc Informatique, téléphonique, vidéo surveillance et flotte mobile (achat et réception, supervision d’installation, suivi de l’entretiens, etc).- Maitriser le suivi et la mise à jour des systèmes d'exploitation et sauvegarde (suivi des licences, suivi des installations, de mise à jour et de la maintenance, contrôle des sauvegardes, etc).- Assurer le bon fonctionnement des Réseaux (informatique téléphonique et Vidéosurveillance).- Assurer le déploiement et le respect des règles de la Sécurité (planning d’entretien, suivi de réalisation, supervision et surveillance des mise à jour, gestion des mots de passe, etc).- Assurer le déploiement des outils Microsoft Office 365 (suivi des licences, mis à jour des comptes, déploiement et accompagnement des utilisateurs, etc)Profil : de formation ingénieur Si ou équivalent avec une expérience de 3 ans à 5 ans minimum dans un poste similaire. Vous maitrisez toute l’architecture SI (infrastructure SI, réseaux, téléphonie, logiciels bureautiques, etc). Vous êtes organisé, rigoureux et méthodique avec un bon esprit d’équipe et un bon sens de communication, d’écoute, d’analyse et de coordination.Type de contrat : CDI
Domaine : Industrie / Ingénierie / Energie
Fonction : Informatique - Systèmes/Réseaux
Contrat : CDI
Entreprise : Industrie
Salaire : A discuter
Niveau d'études : Bac plus 5"
PostedPosted 30+ days ago,Ingénieur système et réseaux,Casablanca,BROME Consulting & Technology,Permanent,"Dans le cadre du renforcement de nos équipes, nous recherchons un Ingénieur système et réseaux ayant les compétences suivantes:
Compétences techniques:
De formation : Ingénieur / Master en administration des systèmes et réseaux
Une bonne maîtrise de Linux (Centos, Ubuntu) et Microsoft server
Une bonne maîtrise de LAN / WAN / DNS / SMTP / NGINX
Bonnes connaissances en Cloud azure, sécurité informatique
Certification en cloud, réseaux ou administration système souhaitée
Expérience:
Une première expérience minimum 2 ans dans un poste similaire.
Informations complémentaires
Expérience requise Junior
Années d'expérience 0-3"
PostedPosted 30+ days ago,Administrateur systèmes et réseaux,Rabat,Cercle RH,Permanent,"Description de l'emploi
Cercle Rh recrute pour son client basé sur Rabat un Administrateur Systèmes et Réseaux

Mission:
Gérer l'administration des systèmes d'exploitation, des réseaux et de la maintenance et développement des infrastructures système.

Fonctions:

Etablir un plan et identifier le matériel informatique dont la société a besoin pour sa gestion quotidienne
Analyser les besoins des utilisateurs et identifier les solutions à apporter
Identifier et de prévenir d’éventuels soucis techniques pouvant impacter ce dernier
Veiller sur la protection du réseau de toutes sortes de tentatives d’intrusion
Déployer des solutions de virtualisation des postes de travail, terminaux mobiles et serveurs
Administrer des bases de données
Former et assister des utilisateurs/clients

Profil:
Ingénieur en Informatique
Minimum 2 ans d'expérience dans le domaine

Exigences:
Être à l’affût des nouvelles technologies informatiques, notamment celles concernant les systèmes d’exploitation, la sécurité numérique, la gestion de base de données…
Être familiarisé aux bases de données Oracle et aux systèmes LINUX et VMWARE; et aux technologies CISCO

Qualités:
Esprit d'analyse
Gestion de stresse
Disponibilité
Capacité d'organisation
Bonne communication"
PostedPosted 30+ days ago,Ingénieur étude et développement (BI),Casablanca,HiiT Consulting,,"Vous faites évoluer le système décisionnel de nos clients:
Analyse et prise en charge des tickets d’anomalies (rédaction des éléments d’analyse, développement et mise à disposition pour la recette),
Évolutions structurelles des bases de données,
Développement des nouvelles alimentations,
Évolution de la documentation technique sur les travaux effectués.
Nous cherchons des collaborateurs qui pensent client, bons communicants et capables de discernement. Des individus responsables et professionnels, autonomes et impliqués.
Compétences et expérience souhaitées
Formation minimum : BAC+2, +3 ou +5 en développement Informatique
Expérience de 5 ans minimum en systèmes décisionnels
Base de données
SQL avec une expérience sur PostgreSQL
Basiques d’optimisation (Partitionnement, indexage, …etc)
Expérience sur les outils ETL (ex. : Talend)
Technos : maîtrise de Glue et Athena
Expérience sur Glue DataBrew, S3, Step Functions et Python serait un plus"
PostedPosted 30+ days ago,Ingénieur informaticien,Nador,Nador West Med,,"Entreprise
Nador West Med est une société publique créée et chargée par l’Etat de la réalisation, du développement, de l’aménagement, de la promotion et de la gestion du complexe industrialo-portuaire, Nador West Med
Poste
gestion des Systèmes d’informations de la société Nador West Med
Profil
ingnieur en Génie Informatique, ayant au moin 2 ans d’expérience dans le domaine des SI et ayant les compétences suivantes :
Bonnes connaissances de l’administration des réseaux et systèmes (routeurs, firewall, …) ;
Bonnes connaissances des protocoles réseaux et de télécommunication (TCP/IP, Ethernet, LAN, WAN, …) ;
Bonnes connaissances des logiciels SI ;
Maîtrise des normes de sécurité et de l’actualité des risques mondiaux en matière de sécurité ;
Bonnes connaissances des contraintes et impératifs d’une architecture réseau ;
Sens de l’anticipation des évolutions fonctionnelles et techniques ;
Maîtrise des langues et obligatoirement l’anglais technique ;"
PostedPosted 30+ days ago,Ingénieur maintenance,Rabat,Cercle RH,Permanent,"Description de l'emploi
Cercle Rh recrute pour son client basé sur Rabat un Ingénieur maintenance.

Mission:
Veiller au bon fonctionnement du système de production en le maintenant dans un état optimum.
Fonctions:

Mettre en œuvre le plan de maintenance du site
Diagnostiquer, contrôler et surveiller régulièrement les équipements
Réaliser les interventions de maintenance préventive et curative
Veiller à l’application des règles d'hygiène et les consignes de sécurité dans l'exécution de toutes les activités
Détecter les éventuels dysfonctionnements sur les équipements
Profil :
Ingénieur en Génie mécanique
De 3 à 5 d'expérience dans un poste similaire.

Exigences:
Connaissances techniques de maintenance
Compétences techniques et des méthodes d’analyse approfondies sur des équipements complexes
Maîtrise des contraintes technologiques liées à la production
Maîtrise des outils informatiques
Maîtrise des logiciels de la maintenance
Qualité:
Qualités de communication
Qualités d’organisation
Sens de l’analyse et de synthèse
Transparence
Autonomie
Pragmatisme"
EmployerActive 6 days ago,Ingénieur réseaux informatiques junior anglophone pour société à Ain Sbaa,Casablanca,CRIT MAROC,Full-time +1,"Nous recrutons un ingénieur informatique orienté réseaux informatique pour un grand groupe, impliqué, autonome, anglophone, ayant un diplôme d'ingénieur en réseaux informatique, maitrisant parfaitement l'anglais, fraichement diplômé avec des stages en réseaux informatiques, si vous êtes intéressé envoyez votre cv
Type d'emploi : CDI, Temps plein
Salaire : 9.000,00DH à 10.000,00DH par mois"
PostedPosted 30+ days ago,Ingénieur informaticien,Nador,Nador West Med,,"Entreprise
Nador West Med est une société publique créée et chargée par l’Etat de la réalisation, du développement, de l’aménagement, de la promotion et de la gestion du complexe industrialo-portuaire, Nador West Med
Poste
gestion des Systèmes d’informations de la société Nador West Med
Profil
ingnieur en Génie Informatique, ayant au moin 2 ans d’expérience dans le domaine des SI et ayant les compétences suivantes :
Bonnes connaissances de l’administration des réseaux et systèmes (routeurs, firewall, …) ;
Bonnes connaissances des protocoles réseaux et de télécommunication (TCP/IP, Ethernet, LAN, WAN, …) ;
Bonnes connaissances des logiciels SI ;
Maîtrise des normes de sécurité et de l’actualité des risques mondiaux en matière de sécurité ;
Bonnes connaissances des contraintes et impératifs d’une architecture réseau ;
Sens de l’anticipation des évolutions fonctionnelles et techniques ;
Maîtrise des langues et obligatoirement l’anglais technique ;"
PostedPosted 30+ days ago,Ingénieur études et développement Java full-stack,Casablanca,Alithya,,"Casablanca
Veuillez prendre note que ce poste est en présentiel.
Alithya, chef de file en transformation numérique, accompagne des clients et des partenaires internes dans la recherche d’experts, de collaborateurs créatifs et ingénieux. C’est l’un des nombreux services d’Alithya.
Une mission à la hauteur de votre expertise
L’équipe de modernisation de l’ordinateur central (mainframe) d’Alithya recherche des personnes dynamiques pour contribuer à définir et à construire l’avenir de la modernisation des applications héritées (legacy). Nous travaillons sur un service passionnant qui implique l’analyse, la refactorisation et le déploiement de codes modernes d’applications héritées permettant à nos clients d’atteindre leurs objectifs ambitieux.

En tant que développeur(-euse) au sein de cette équipe, vous travaillerez aux côtés d’experts sur l’ensemble du processus de modernisation de code. Vous améliorerez les performances, la disponibilité, l’évolutivité et la durabilité des applications clients. Vous serez amené(e) à comprendre la mise en œuvre et l’exploitation d’un système complexe de modernisation. Vous aurez l’occasion de travailler en étroite collaboration avec une équipe Agile qui déploie de manière régulière et de voir l’effet de votre travail sur un large éventail de clients.
Des projets à la hauteur de vos ambitions
Soutenir la création et la maintenance de tests d’acceptation;
Repérer les problèmes de performance, optimiser le code et ajuster la base de données pour que les systèmes critiques puissent fonctionner à leur vitesse nominale;
Collaborer étroitement avec les équipes de R&D, les gestionnaires et les autres membres de l’équipe dans le but de trouver des solutions novatrices aux problèmes techniques complexes.
Quand ça clique!
Titulaire d’une maîtrise (master) ou d’un diplôme d’ingénieur en informatique (Bac + 5);
Entre un et trois ans d’expérience en développement de logiciels;
Maîtrise du langage de programmation orientée objet Java;
Connaissance des bases de données relationnelles et de SQL;
Atouts :
Expérience :
en modernisation;
avec Java Spring Boot;
avec des applications Web;
avec Angular ou d’autres cadres JavaScript;
en rédaction de codes de test Selenium.
Analyse du code source, détection des failles, et proposition de correctifs afin de maintenir un code fiable, performant et réutilisable;
Profilage et amélioration de la performance des bases de données, des requêtes et des indexations.
Capacité à travailler et à s’adapter dans un environnement complexe et en constant changement;
Bonne maîtrise du français (à l’oral et à l’écrit);
Anglais technique.
Compétences linguistiques :
Français: Avancé
Anglais: Intermédiaire"
PostedPosted 30+ days ago,Ingénieur système et réseaux,Casablanca,BROME Consulting & Technology,Permanent,"Dans le cadre du renforcement de nos équipes, nous recherchons un Ingénieur système et réseaux ayant les compétences suivantes:
Compétences techniques:
De formation : Ingénieur / Master en administration des systèmes et réseaux
Une bonne maîtrise de Linux (Centos, Ubuntu) et Microsoft server
Une bonne maîtrise de LAN / WAN / DNS / SMTP / NGINX
Bonnes connaissances en Cloud azure, sécurité informatique
Certification en cloud, réseaux ou administration système souhaitée
Expérience:
Une première expérience minimum 2 ans dans un poste similaire.
Informations complémentaires
Expérience requise Junior
Années d'expérience 0-3"
PostedPosted 30+ days ago,Ingénieur développement intégration,Casablanca,Dedalus SA,Full-time,"Vous souhaitez donner du sens à votre métier ?
Vous voulez contribuer à l'amélioration de nos soins de santé ?
Alors rejoignez notre équipe!
Entreprise
Le groupe Dedalus est le premier fournisseur de logiciels de santé et de diagnostic en Europe. Avec des produits distribués dans plus de 40 pays, le groupe occupe une position de leader dans les principaux pays européens en Allemagne, en Italie, au Royaume-Uni, en France et en Espagne.
Dedalus compte aujourd’hui, plus de 7700 collaborateurs, avec une impressionnante plateforme de R&D de plus 2500 personnes à travers le monde.
Dedalus se développe au Maroc via sa filiale Medhealth depuis 2013. Ces deux dernières années son développement s'est fortement accéléré avec l'implémentation des nouvelles activités R&D.
Mission
Dedalus recrute un/une Ingénieur développement intégration (h/f)
Rattaché au du Team Lead équipe Solution Build & Continuous Integration, vous serez en charge de:

1. Fournir des outils soutenant le travail de l’équipe de développement :
Monitoring de la qualité des livrables (SonarQube etc…)
Contrôle des scripts Oracle
Contrôle des archivages (policies etc.)
En collaboration avec les équipes de développement :
Mises à jour et maintenance évolutive d’Azure DevOps
Évolutions technologiques inter-équipes (exemple : changement de compilateur)
Veille technologique
2. Fournir des outils permettant la mise à jour régulière des environnements de tests
Scripts de builds et de mise à jour des environnements.
Maintien des environnements de développement et de qualification au fil de l’eau
3. Fournir le livrable qui sera déployé sur site par les équipes Services
Outils de création du livrable (DxPatch etc.)
Outils de contrôle de la qualité et de la robustesse du livrable
Le but de l’ingénieur de développement d’Intégration est d’améliorer la qualité des livraisons faites à nos clients, en automatisant tout ce qui peut l’être.
PROFIL
Formation initiale (BAC+5) en informatique, ou expérience significative dans un poste similaire.
Qualités requises

Maîtrise de l’algorithmique et du développement orienté-objet
Bonne connaissance système (Windows)
Bonne connaissance des technologies d’ALM (Application Lifecycle Management)
Connaissance des bases de données
Écoute et sens du service
Savoir travailler dans un environnement collaboratif
Adaptabilité
Vous aimez transmettre aux autres votre savoir
Le code legacy et la multiplicité des technologies ne vous fait pas peur
Vous aimez améliorer les choses
Vous maitrisez:
Langages : python, powershell, C#
ALM : Azure DevOps, Git, Jira
Poste à pourvoir en CDI sur à Casablanca, Maroc.
Évoluant au sein d’un environnement international, vous justifiez d’un niveau d’anglais professionnel avancé à l’écrit comme à l’oral.
Le Groupe Dedalus est engagé dans une politique d’égalité des chances. Les offres d’emploi proposées sont ouvertes à tous les talents, incluant naturellement les personnes en situation de handicap."
PostedPosted 4 days ago,Ingénieur BI Talend confirmé (F/H) - Rabat (Maroc),Rabat,Cegedim Group,Full-time +1,"Contrat permanent
Temps plein
De 2 à 5 ans d’expérience
Master, DESS, DEA, Bac+5
Informatique / Systèmes d’information
Mission
A propos de Cegedim
« Fondée en 1969, Cegedim est une entreprise innovante de technologies et de services spécialisée dans la gestion des flux numériques de l’écosystème santé et BtoB, ainsi que dans la conception de logiciels métier destinés aux professionnels de santé et de l’assurance. Cegedim compte plus de 6 000 collaborateurs dans plus de 10 pays et a réalisé un chiffre d’affaires de 555,2 millions d’euros en 2022.

Présente au royaume depuis 2008, Cegedim Maroc s’est imposé comme un acteur majeur du groupe, spécialisée dans les technologies et les services, à travers la participation à l’élaboration et à la réalisation des solutions logicielles du groupe dans les domaines de la paie et des ressources humaines, de la dématérialisation de factures, de l’assurance santé, et de la gestion de dossiers médicaux. Des métiers qui s’étendent de l’élaboration des besoins au déploiement de solutions, en passant par le développement logiciel et le paramétrage, ainsi que la formation, le service client et les métiers du support.
Missions :
Dans le cadre d’un nouveau projet nous sommes amenés à renforcer notre équipe avec des profils Talend confirmé
Profil
Bac+5 Ingénieur avec 4 ans d’expérience en développement Talend
Connaissances obligatoires :
Talend niveau confirmé :
Concevoir et développer les jobs avec Data Intégration de TALEND
Chargement des fichiers avec un Job Talend
Travailler sur le projet en méthode Agile
Concevoir des solutions simples à complexes à l’aide des outils TALEND
Git niveau confirmé
Maitrise les commandes de livraisons avec GIT
Connaissances facultatives :

JAVA backend niveau basique
Compétences
talend
BI
Localisation
Emplacement Adresse
Avenue Omar Ibn Al Khattab, Rabat, Maroc"
PostedPosted 30+ days ago,Directeur Sécurité Informatique avec 10 à 12 ans...,Rabat,Trusted Advisors,,"Nous cherchons pour le compte d’un groupe international leader dans la grande distribution un Directeur Sécurité Informatique.
Missions :
Définir et piloter le déploiement de la stratégie de sécurité de l'entreprise
Définir et piloter le déploiement du PCI
Définir et piloter le déploiement de la communication autour de la sécurité au sein du groupe
Permettre à l'entreprise de maîtriser le risque informatique
Activités :
Définir et déployer la politique de sécurité
Élaborer, maintenir et veiller au respect des différentes procédure de sécurité
Organise les audit de sécurité et suit l'exécution des plans d'action associé
Définir et maintenir le PCI en coordination avec le PCA
Prendre part aux différents comité de continuité et de sécurité
Définir le programme annuel de communication/formation autour de la sécurité informatique
Supervise l'exécution du programme de communication/formation autour de la sécurité
Organise les exercices de basculement vers le site de backup
Conduire les opérations d'homologation des différents composant du SI
Contrôler et garantir application les principes et règles de sécurité
Effectuer le suivi des évolutions réglementaires et techniques de son domaine
Profil Recherché:
De formation Ingénieur ou équivalent
12 ans d'expérience dont 7 ans dans le domaine de la sécurité informatique

Type de contrat: CDI
Lieu: Skhirat"
PostedPosted 30+ days ago,CONCEPTEUR DÉVELOPPEUR PHP ZEND,Rabat,Sofrecom Services Maroc,Permanent,"Offre clôturée
Sofrecom Services Maroc
APERÇU FICHE RECRUTEUR
Type de contrat
CDI
nombre de poste
1
localisation
Rabat
rémunération proposée
A communiquer plus tard
Métier
Informatique / Télécom/multimédia / Web
PARTAGER CETTE ANNONCE SUR

PROFIL DEMANDÉ

Formation :
Ingénieur

Expériences :
De 5 à 8 ans
DESCRIPTION DE L'EMPLOI

Il s’agit de réaliser les prestations relatives à l’analyse, conception, réalisation, intégration, déploiement autour des applications PHP/Zend-Framework ainsi que le support Post MEP dans le contexte métier orienté Telecom."
PostedPosted 6 days ago,Ingénieur réseaux et si,Casablanca,,Permanent,"Casablanca
Publiée le: 20 Feb-17:34
Annonce N°: 9777169
Description du profil
Le Groupe basé à Casablanca, cherche un Ingénieur SI et Réseaux qui doit participer au déploiement d’une politique en matière de sécurité informatique et réseaux au sein de l’entreprise.Description de poste• Analyser la vulnérabilité de l’entreprise et veiller à sa protection contre les attaques externes et internes ;• Proposer des solutions logicielles et matérielles d’amélioration de la politique de sécurité ;• Mettre au point des procédures, politiques et/ou normes de sécurité applicables à la navigation sur internet et à l’utilisation de la messagerie électronique ;• Déployer des méthodes et des outils de sécurisation dans l’entreprise et assurer leur bonne utilisation par le personnel ;• Tester les mesures de sécurité déployées afin d’en garantir l’efficacité et, si elles sont insuffisantes, remédier au problème ;• Confectionner, rédiger et faire circuler des supports de formation pour le personnel de l’entreprise ;• S’informer sur les dernières réglementations en matière de sécurité informatique pour garantir la conformité de la politique de sécurité avec le droit applicable ;• Gérer la mise en place du réseau ;• Intégrer de nouvelle application afin d'améliorer la performance du réseau ;• Veiller à l'installation de l'équipement et des logiciels d'administration de réseaux ;Compétences et qualifications• Bac+5 et plus ;• Plus de 5 ans d’expérience en tant qu’Ingénieur sécurité informatique et réseaux ;• Bonnes connaissances techniques en normes de sécurité, procédures d’identification, outils associés (maîtrise l’installation et l’utilisation d’un firewall, d’un antivirus ou d’un serveur d’authentification) ;• Bonnes compétences en sécurité informatique et réseaux ;• Connaissances juridiques et réglementaires (droit informatique) ;• Connaissances des bases de données : Oracle, SQLServer Windows et Unix ;• Connaissances des protocoles réseaux et de télécommunication ;• Bilingue ;
Domaine : Marketing / Communication / Publicité / Rp
Fonction : Informatique - Systèmes/Réseaux
Contrat : CDI
Entreprise : Confidentielle
Salaire : A discuter
Niveau d'études : Bac plus 5
Annonceur :
RH"
PostedPosted 30+ days ago,Business Analyst BI (Secteur Bancaire) - Casablanca,Rabat,WELINK,Freelance contract,"Pour le compte d’un de nos clients (Multinationale spécialisée en intégration et infogérance), nous recherchons un Business Analyst BI Senior

Au sein d'une équipe dynamique vous aurez pour missions:

Maitrise de l’activité data-driven sur l’ensemble du cycle de vie de la valorisation d’une donnée.
Création, amélioration et optimisation des dashboards de l’activité de la banque.
Modélisation et enrichissement du modèle de données via l’outil de data préparation « Alteryx »
Suivi et gestion des anomalies en production
Analyse, recette , packaging et mise en production des livrables
Profil Recherché
Ingénieur en Informatique de formation (ou équivalent), vous justifiez d'une expérience minimale de 5 ans en développement dans un environnement BI (de préférence Tableau).
Compétences

Avantages sociaux et autres
Maitrise de l’outil Tableau (Server & Desktop et Web editing)
Maitrise de l’outil de préparation des données ALTERYX
Connaissances avancées de l’outil du stockage de données VERTICA et langage VSQL.
Maitrise du langage de script powershell et gestion des batch
Maitrise de la gestion d’ordonnanceur sous Linux AUTOSYS
Maitrise du langage SQL
Maitrise des techniques d’analyse des données
Bonne analyse des problèmes de production et anticipation des solutions.
Amplitude horaire"
EmployerActive 4 days ago,Ingénieur Réseaux et Télécoms Junior - Casablanca,Casablanca,ECA ASSURANCES,Permanent,"En tant qu'ingénieur réseau et Telecom vous serez chargé de :
- Administration des plateformes téléphonique VOIP
- Administrer et faire évoluer les réseaux locaux de nos filiales
- Administration des serveurs Linux et Windows.
- Gestion et la résolution d'incidents.
- Conduire des projets informatiques.
- Définir les projets d’extension, de modification du réseau.
- Prévenir les anomalies et les pannes de fonctionnement du réseau
- Mise en place de procédures d'exploitation.
- Optimiser l'exploitation des plateformes, leur disponibilité et leur performance.
- Faire de la veille technologique.
Profil recherché :
De formation Bac 5 en Réseaux et Systèmes avec une expérience de minimum 3 ans en Réseaux et Télécom
- Très Bonne maîtrise des réseaux TCP/IP.
- Maîtrise de la configuration des routeurs (routage IP, VLANs (802.1Q), NAT)
- Maîtrise des environnements Windows Server.
- Très Bonne maîtrise d’UNIX et GNU/LINUX.
- Maîtrise de sécurité informatique.
- Maîtrise de la Virtualisation (vSphere, XEN, Hyper-V).
- Maitrise du dépannage informatique.
- un bon niveau en français à l’écrit comme à l’oral.
- Possibilité de se déplacer à l’étranger.
- Autonome, ouvert d’esprit et doté de réelles qualités relationnelles
Type d'emploi : CDI"
EmployerActive 14 days ago,Ingénieur Systèmes et Réseaux basé à Ain Harrouda,Casablanca,CRIT MAROC,Full-time +1,"Nous recrutons pour l'un de nous clients un Ingénieur Systèmes et Réseaux basé à Ain Harrouda pour une période de 3 mois
aura comme charge de :
- Assurer la satisfaction des clients internes en maintenant un niveau de service suivant les standards du Groupe, cela à travers la gestion de toute l'infrastructure informatique (y compris le matériel IT, les logiciels, les imprimantes, la téléphonie, les serveurs, les périphériques réseau et les équipements informatiques d'usine).
- Garantir la maintenance et la mise en œuvre et l’amélioration de tous les services IT.
Profil demandée :
Bac+5 ou formation d’ingénieur en systèmes d’information avec une 1èreexpérience dans l’identification et la résolution de tous les problèmes et incidents du matériels et logiciels informatiques / téléphoniques / fax IP.
Salaire attribué : à discuter selon le profil présenté.
Type d'emploi : Temps plein, Intérim
Durée du contrat : 3 mois
Salaire : 9.000,00DH à 11.000,00DH par mois"
